FoF,max_index,max_value
FoF2_241016_fucci.nucleus,25,54
FoF10_241016_fucci.nucleus,18,113
FoF11_241016_fucci.nucleus,27,85
FoF14_241016_fucci.nucleus,26,97
FoF12_241016_fucci.nucleus,25,105
FoF1_241016_fucci.nucleus,12,48
FoF13_241016_fucci.nucleus,27,103
FoF3_241016_fucci.nucleus,23,99
FoF4_241016_fucci.nucleus,24,76
FoF5_241016_fucci.nucleus,26,84
FoF6_241016_fucci.nucleus,27,80
FoF7_241016_fucci.nucleus,30,107
FoF8_241016_fucci.nucleus,29,83
FoF9_241016_fucci.nucleus,19,93
FoF15_241017_fucci.nucleus,27,79
FoF16_241017_fucci.nucleus,17,93
FoF17_241017_fucci.nucleus,18,191
FoF18_241017_fucci.nucleus,21,158
FoF19_241017_fucci.nucleus,24,106
FoF20_241017_fucci.nucleus,28,107
FoF21_241017_fucci.nucleus,23,178
FoF22_241017_fucci.nucleus,23,243
FoF23_241017_fucci.nucleus,28,119
